timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542211261,4.529034937712503,1.5925732099492684,1.1146380817530899,17.499351373849805,9.005350296957076,9.318252219432187,4.176417161158917,1.8783966062949629,40.90627032608694,18.3017501132853,5.112420345552913,3.11693231910308,2.3441150245603253,14.476373499787904,9.368600081368772,8.479048795843736,2.888287382050536,7.326099121046422,14.446844694288998,7.2152908350276554,1
1542211261,5.272086245909804,2.3073951083127597,1.606245222528963,10.852361941751635,7.585720230922114,5.171235607381017,2.5733437129482333,1.1100384598311228,26.944224882491508,12.920808438357966,15.062505756534202,4.8009260589341425,3.62400466802341,25.220497359038816,21.678551972823144,4.265813022723836,2.4581239102758805,6.965906577588433,13.05596451030164,2.404635749623253,1
1542211262,3.8643833310449316,1.8596881472814968,1.372251711882197,6.820576873273696,7.0959938321124785,3.7708259967327966,1.8954837373030249,0.8322246957307209,10.653135259964843,4.116786411023099,11.429638444146326,3.5680746611821803,3.017323401060638,11.910021723935358,16.60212670907249,5.479545593161634,2.4009627102853566,6.934651772115638,6.36894251122815,6.330668365010652,1
1542211262,2.3616335348187105,1.5919843192604546,1.221238470859897,3.9638700401807343,3.856666536681295,3.5340845575938515,1.3487133578211483,0.7187669391021853,11.513326604177696,5.168403325293837,5.787215556088125,3.007573515437937,2.538632575820822,14.43836345505893,8.430551671909148,1.9845117953621598,2.6690489559459794,6.728427427849113,8.872365068822427,6.009090381767881,1
1542211263,4.994497520491577,2.4921415828786646,1.3207044987567844,18.089099055532287,10.106594236939621,3.5002990314609383,1.3006651695412759,0.6476568082719159,8.92823236721313,6.24795921534045,5.30107734177924,2.907994844700781,2.584688273233384,9.427542934604347,6.936558830672235,3.574330513109159,4.612757018526639,7.247666102178298,7.778408053053232,4.636943429673598,1
1542211263,12.330372415764657,4.255529657839919,1.8930811211457572,46.06435046793359,21.100535426339786,3.4289925971929027,1.3707963138597303,0.6973694197517158,3.091212602047118,5.6918217566574345,2.9751465458088453,2.288930587207135,2.1588315316189846,7.3134040223891965,9.973393686748992,8.657541490537922,4.979859294439811,6.052458999455472,20.352517511293374,24.415580104272173,1
1542211264,7.728710506909208,3.369950673553446,1.6631759536484818,14.164164783808495,17.489251674881004,2.8933169255120856,1.5691020624645784,0.5704096443777171,3.451143492602962,3.5166795440942304,3.3188342112232037,1.895855170186857,2.2116114922863472,5.747888581048001,5.372768820531566,9.882362726140663,3.6246672715789745,7.2933899364450125,23.986239106081864,13.146519623269016,1
1542211264,1.960267054949569,1.6542944350883084,1.1766345816421087,3.1723935937396424,2.146745291707048,4.073790601690401,1.1037088851054833,0.5856405375270314,1.834201739022777,1.9700403990691284,4.029905027920501,2.5845556421405687,2.200879136425299,3.694113182124587,5.05677391739629,5.376111368805167,4.397134820548531,7.317107536027606,7.132216028547174,11.99648180583173,1
1542211265,5.784034159998064,2.2728143033791195,1.3332652850944433,5.287288401190688,6.495826790212329,2.5494154302255887,1.4782417683407134,0.7383628607503934,3.6162530325154822,3.663793475141203,2.96433263704897,1.9761838552803193,2.0890051495252955,5.697194318860717,4.662677607880454,5.654960422735454,3.026723755270263,5.677025176471413,12.626929046464683,13.190248847556807,1
1542211265,6.710887761102794,1.921246523611578,1.2282783125754875,3.604855827914208,4.003798286584077,1.5214750770500851,1.1224392703627002,0.7269430696060479,2.2648353759193864,2.0413107203846717,1.9981782512156132,1.9633033718566897,2.0334103151649225,4.8317440812885835,4.483435953824285,9.209508720712519,3.2968336621180803,6.539120903536268,10.35704317933682,11.707794542448944,1
1542211266,4.378835748147591,1.9718726985426167,1.320036241710013,3.508054107903409,7.399430317990342,2.5859746598791937,1.4987215316977345,0.893734568760339,4.478013908717402,4.878131116773023,3.273567993136147,2.0501947619094016,1.9426926530471063,4.941121621427896,3.486375303203612,5.726601184862955,2.9719371329039657,6.61257027191328,8.584297910761224,11.032397106485066,1
1542211266,3.2064766253250903,1.7058463383903875,1.0081151584539703,4.221001461052561,3.171947576333852,1.3361708746693484,1.08073409991358,0.6547774309469061,1.289761633650239,2.1573557314628324,2.0640724560975854,1.9307995038448658,2.0092031337455056,9.47374277633682,4.359886522779166,4.11817575720464,3.12624378449745,5.9065672269475185,6.425240916758857,13.02094442390808,1
1542211267,6.122103052982953,1.6438243869766467,1.34510713696356,10.973078538888995,9.8284179060356,1.3501254573913792,1.4276176270923322,0.6223591138903384,1.7936372516815027,1.36995666061175,3.1643722747606504,2.2812560115413176,2.0261743559298946,5.749777527034695,5.008844243553889,7.366546263560958,3.777315065920659,7.204678610928231,10.310696662034346,6.960327045391526,1
1542211267,5.547069408994016,2.1307839240162973,1.2992126595548563,6.56520154304801,4.250150505470485,1.7101194906877257,1.3798635226990357,0.5615087628846782,0.9703543228740684,1.9371316933261327,2.59211544955045,1.87801644899185,1.8114909469384344,2.901895578215861,2.93884577992278,6.143880080758099,2.528628803969558,6.272536694172757,10.095048633557232,11.983773154194722,1
1542211268,3.785889872471746,1.7056514352492222,1.2227996563647245,5.31836611814879,8.378200191976417,1.7568031239074842,0.8765888281214218,0.6364683402480477,0.9770739044797856,2.6689095248343437,1.222978649210306,1.802806669414868,1.917467374716505,3.7374804289396026,2.894264348710135,4.766951378060177,3.6249177465575317,6.498866162022601,8.610899581561448,9.490213344998006,1
1542211268,5.487750141752881,1.8974728921571382,1.375406910476799,4.748260877712866,2.9476867704376026,1.7144536512233681,0.8204880000228986,0.5887508644301068,0.8326117357566286,2.8622406617638734,2.2066388349386683,1.668961010305679,2.0147717997613452,13.148141444955728,6.801219591061719,6.718697771429464,3.867645977090157,6.883701146181105,12.01533561135631,11.720658245879598,1
1542211269,4.247586121031279,1.8391954360610216,1.4736829243203675,11.34852399632786,10.967145891609746,1.554902098095936,0.9580522217549794,0.5064419458775073,1.8483928635643436,2.95797548215058,3.1647082207282846,1.3856385406751057,1.8525500626517142,2.2150615003558842,2.8513377447795034,6.6603944233957355,3.0493393287777666,6.909652052191521,8.101228118711466,9.85861537255052,1
1542211269,4.969431345253966,1.8148023338246142,1.19878587408001,6.0461188213435495,5.506906438042943,1.8550991171615225,1.088663780030453,0.5479571921516608,3.962721549670005,3.1848751116653746,1.7580259473195239,1.8685536648442407,1.8649575948332653,4.134567547034427,1.3547881538238098,3.6311529945895056,2.6008815146242084,6.684909315410861,11.047567726959453,11.504687060817492,1
1542211270,1.4691793753097893,1.3418468273288544,1.0940918867900935,2.0956907982047497,0.8238939918773056,1.0632898958707917,1.1082118252828794,0.5392524901440804,2.0141305736245863,1.146103282753407,2.179712191973358,1.4736709446197507,2.023773696841549,7.16148673690579,3.689488976370214,2.706757685054763,2.9909603813272656,5.4047318118002154,11.742784842585824,13.324071624630577,1
1542211270,3.6355422026948827,5.363894013739188,2.2876750087760502,15.041938095902276,9.081449142611097,4.20242667885426,2.0663483116100467,0.885717506554854,8.084238762935026,6.9917851600112115,2.126489612625926,1.5269654591382122,1.8608954431551112,5.913224892279369,2.3884783180766416,12.523046674083764,5.045806663131323,6.85788860724091,18.094916401809357,16.50996323726881,1
1542211271,11.246715313994756,4.154376241239116,2.0405453476192195,18.901527181183265,23.373090657506786,1.727346283353869,1.2177686640371013,0.7111239293244601,5.453095910444384,5.26078242273975,1.5974544802528268,1.5950852577556374,1.9028175992469512,2.836244451096376,5.922452773151566,12.087514519832519,5.237343993066593,7.063623184160315,16.893944091412955,16.50198153443424,1
1542211271,3.7941288737480012,1.6835208560790624,1.4769564660924688,6.1851657619925895,8.971276211646156,3.351209117656923,1.047436453710343,0.9514796278501828,5.245313558289113,5.501015083548523,3.782151965173451,2.171744083510439,2.194062765433192,2.4842624014195196,3.7049461798798795,3.25119597184854,2.9313595829938333,5.689128535064769,9.513892396299998,9.126940831636968,1
1542211272,2.8899268370820983,1.683097747610886,1.5362730549995225,8.675301020284785,6.938251244442079,3.315762320168109,1.5539056229157415,0.7149748518106102,1.935177129482248,3.1869020806649306,2.749722658514438,1.6829775792467674,1.8632026872176826,4.591991270911062,1.998438143442697,5.037271733025057,3.2843934815055666,6.447185117225842,11.236104714755648,9.416200894406625,1
1542211272,3.66968487586184,3.259915659110317,1.5216210787800273,7.266664036883954,7.376091477786366,4.019863630130521,1.6020803785652904,0.7216644450473304,4.0032490423149065,2.815480492896726,3.348911317778119,1.542355137213624,1.869047666343112,2.3160938972378204,2.266920001161407,6.217196215779438,2.934380592684078,5.853148462270892,6.662889234816941,7.697515408816926,1
1542211273,4.2446139037914525,2.14000331253612,1.2724042198487737,1.9400864986398747,2.9749822422751993,3.6955237929754294,1.755502733181798,0.7904516821257981,5.53996593841824,4.243690011517074,2.959849119668256,2.165083467552528,2.631071229418093,11.997994156844356,7.072669680153318,6.175993470108138,1.920260977764664,5.593125551198266,6.9385364515034285,5.66190970712321,1
